"Block","Batch","Candidates","Seconds","CandidatesPerSecond","Repeat","Variant"
"64","1048576","4194304","2.869","1461794","1","current"
"64","1048576","4194304","2.937","1427943","1","baseline"
"64","1048576","4194304","3.045","1377438","2","baseline"
"64","1048576","4194304","3.108","1349385","2","current"
"64","1048576","4194304","3.085","1359400","3","current"
"64","1048576","4194304","3.091","1356970","3","baseline"
"64","1048576","4194304","3.039","1380274","4","baseline"
"64","1048576","4194304","3.100","1353219","4","current"
"64","1048576","4194304","3.137","1336971","5","current"
"64","1048576","4194304","3.110","1348773","5","baseline"
