"Block","Batch","Candidates","Seconds","CandidatesPerSecond","Repeat","Variant"
"32","1048576","4194304","1,936","2166246","1","current"
"32","1048576","4194304","2,093","2003576","1","baseline"
"64","1048576","4194304","2,067","2029355","1","current"
"64","1048576","4194304","2,188","1916955","1","baseline"
"128","1048576","4194304","2,281","1838767","1","current"
"128","1048576","4194304","2,257","1858031","1","baseline"
"256","1048576","4194304","2,313","1813282","1","current"
"256","1048576","4194304","2,451","1711075","1","baseline"
"64","262144","4194304","2,579","1626398","1","current"
"64","262144","4194304","2,725","1539276","1","baseline"
"64","2097152","4194304","2,445","1715655","1","current"
"64","2097152","4194304","2,934","1429618","1","baseline"
"64","2097152","4194304","2,907","1442918","2","baseline"
"64","2097152","4194304","2,937","1427894","2","current"
"64","262144","4194304","3,33","1259550","2","baseline"
"64","262144","4194304","3,083","1360298","2","current"
"256","1048576","4194304","2,933","1430133","2","baseline"
"256","1048576","4194304","3,035","1382068","2","current"
"128","1048576","4194304","3,099","1353459","2","baseline"
"128","1048576","4194304","3,032","1383541","2","current"
"64","1048576","4194304","3,086","1359337","2","baseline"
"64","1048576","4194304","3,015","1391012","2","current"
"32","1048576","4194304","3,12","1344203","2","baseline"
"32","1048576","4194304","3,048","1375905","2","current"
"32","1048576","4194304","3,067","1367637","3","current"
"32","1048576","4194304","3,14","1335742","3","baseline"
"64","1048576","4194304","3,072","1365507","3","current"
"64","1048576","4194304","3,168","1324108","3","baseline"
"128","1048576","4194304","3,155","1329625","3","current"
"128","1048576","4194304","3,199","1311042","3","baseline"
"256","1048576","4194304","3,149","1331976","3","current"
"256","1048576","4194304","3,211","1306351","3","baseline"
"64","262144","4194304","3,403","1232704","3","current"
"64","262144","4194304","3,478","1205869","3","baseline"
"64","2097152","4194304","3,09","1357432","3","current"
"64","2097152","4194304","3,17","1322949","3","baseline"
