experiment,case,trial,variant,wall_seconds,gpu_seed_seconds,gpu_address_seconds,completed_raw,excluded,retained,checksum_survivors
const-comparison,coins,1,before,2.1027851,1.1058283538818359,0.1396879348754883,5000000,1195600,3804400,237551
const-comparison,coins,1,after,1.8959944,1.0937218475341797,0.14155264091491698,5000000,1195600,3804400,237551
const-comparison,coins,2,after,2.129663,1.1391046142578125,0.14689791870117186,5000000,1195600,3804400,237551
const-comparison,coins,2,before,2.2293037,1.1524052124023438,0.14710476684570312,5000000,1195600,3804400,237551
const-comparison,coins,3,before,2.2911704,1.1606473999023437,0.14532608032226563,5000000,1195600,3804400,237551
const-comparison,coins,3,after,1.963588,1.1382691802978515,0.1449093132019043,5000000,1195600,3804400,237551
const-comparison,coins,4,after,1.9017533,1.1069878997802733,0.1423595504760742,5000000,1195600,3804400,237551
const-comparison,coins,4,before,1.8511003,1.0859632263183594,0.1387089977264404,5000000,1195600,3804400,237551
const-comparison,coins,5,before,1.8387007,1.0871127319335938,0.14150246429443358,5000000,1195600,3804400,237551
const-comparison,coins,5,after,1.8599299,1.094133773803711,0.13935923194885255,5000000,1195600,3804400,237551
const-comparison,combined,1,before,1.9139366,1.1591522979736328,0.1460725784301758,5000000,1000084,3999916,249993
const-comparison,combined,1,after,1.9452069,1.1727554321289062,0.14392320060729982,5000000,1000084,3999916,249993
const-comparison,combined,2,after,1.9212201,1.1849471740722657,0.14706483459472658,5000000,1000084,3999916,249993
const-comparison,combined,2,before,1.9340529,1.1664445343017578,0.1481072597503662,5000000,1000084,3999916,249993
const-comparison,combined,3,before,1.9110889,1.1639490661621095,0.1477283878326416,5000000,1000084,3999916,249993
const-comparison,combined,3,after,1.9276278,1.1688836975097656,0.14736077308654785,5000000,1000084,3999916,249993
const-comparison,combined,4,after,1.8986978,1.1726343383789062,0.14583500862121582,5000000,1000084,3999916,249993
const-comparison,combined,4,before,1.959386,1.1888782501220703,0.14983475112915037,5000000,1000084,3999916,249993
const-comparison,combined,5,before,1.943195,1.1775500030517576,0.15225753784179688,5000000,1000084,3999916,249993
const-comparison,combined,5,after,2.0031741,1.2075351257324218,0.14972211265563964,5000000,1000084,3999916,249993
funnel-comparison,coins,1,before,2.6931248,1.1037143249511718,0.14051327896118163,5000000,1195600,3804400,237551
funnel-comparison,coins,1,after,1.9759277,1.0869016113281251,0.12795903778076173,5000000,1195600,3804400,237551
funnel-comparison,coins,2,after,1.9545922,1.1077632293701172,0.12926668548583986,5000000,1195600,3804400,237551
funnel-comparison,coins,2,before,1.8354776,1.0813162384033201,0.13907660865783691,5000000,1195600,3804400,237551
funnel-comparison,coins,3,before,1.9062628,1.0897633514404297,0.14016102409362793,5000000,1195600,3804400,237551
funnel-comparison,coins,3,after,1.9068513,1.099362075805664,0.13602719688415527,5000000,1195600,3804400,237551
funnel-comparison,coins,4,after,1.9092885,1.100975845336914,0.13294489669799806,5000000,1195600,3804400,237551
funnel-comparison,coins,4,before,1.8688668,1.0755389404296876,0.13789183998107912,5000000,1195600,3804400,237551
funnel-comparison,coins,5,before,1.8814394,1.0857890167236328,0.14099455642700195,5000000,1195600,3804400,237551
funnel-comparison,coins,5,after,1.9557052,1.0843760833740235,0.12956979179382325,5000000,1195600,3804400,237551
funnel-comparison,combined,1,before,1.8956911,1.155719009399414,0.14390886497497557,5000000,1000084,3999916,249993
funnel-comparison,combined,1,after,1.9828084,1.158900360107422,0.14550528144836428,5000000,1000084,3999916,249993
funnel-comparison,combined,2,after,1.9480561,1.16238232421875,0.13761843490600584,5000000,1000084,3999916,249993
funnel-comparison,combined,2,before,1.9015464,1.157802001953125,0.14415974426269532,5000000,1000084,3999916,249993
funnel-comparison,combined,3,before,1.9297461,1.1573462829589845,0.1436262435913086,5000000,1000084,3999916,249993
funnel-comparison,combined,3,after,2.0443178,1.1616416625976562,0.13790617752075196,5000000,1000084,3999916,249993
funnel-comparison,combined,4,after,1.9701183,1.1592028503417968,0.13856051063537597,5000000,1000084,3999916,249993
funnel-comparison,combined,4,before,1.9783266,1.1817069702148437,0.14788096046447755,5000000,1000084,3999916,249993
funnel-comparison,combined,5,before,1.9901045,1.1672338409423828,0.14778470230102542,5000000,1000084,3999916,249993
funnel-comparison,combined,5,after,2.0218292,1.188870147705078,0.1409577007293701,5000000,1000084,3999916,249993
